term1,term2,clust
1437,7135,2
1437,7233,1
1437,7422,2
1437,7980,4
1437,8069,5
1437,8658,3
1437,9233,1
1437,9311,1
1437,9412,1
1437,10144,1
1437,10591,2
1437,10648,1
1437,10987,1
1437,11019,1
1437,11683,1
1437,11748,1
1437,11941,1
1437,12027,1
1437,12167,1
1437,12371,1
1437,12643,1
1437,13116,1
1437,13326,1
1437,13437,1
1437,13441,1
1437,13448,1
1437,13568,2
1437,13752,1
1437,13865,1
1441,1460,1
1441,2092,1
1441,2138,1
1441,2495,1
1441,3681,1
1441,4633,1
1441,7128,1
1441,7135,1
1441,7980,2
1441,8069,2
1441,8272,1
1441,8332,1
1441,9778,2
1441,11941,2
1441,11998,1
1441,12643,1
1441,12771,1
1441,13568,1
1441,13718,1
1441,14055,2
1460,1593,6
1460,1807,2
1460,1887,1
1460,2010,4
1460,2252,3
1460,2254,2
1460,2495,1
1460,2606,1
1460,2895,1
1460,3018,1
1460,3038,2
1460,3310,1
1460,3363,4
1460,3451,1
1460,3462,2
1460,3500,4
1460,3681,3
1460,3924,1
1460,3984,2
1460,4165,1
1460,4357,1
1460,4378,1
1460,4633,1
1460,4642,1
1460,4804,3
1460,4846,5
1460,4907,2
1460,4910,1
1460,5117,1
1460,5419,6
1460,5496,5
1460,5523,2
1460,5574,1
1460,5653,1
1460,5669,1
1460,5944,1
1460,6014,1
1460,6066,1
1460,6100,3
1460,6106,2
1460,6540,1
1460,6655,2
1460,6806,3
1460,6837,2
1460,6919,2
1460,6995,1
1460,7006,1
1460,7128,7
1460,7135,4
1460,7136,2
1460,7233,5
1460,7422,1
1460,7975,2
1460,7980,10
1460,8069,8
1460,8272,1
1460,8658,6
1460,8707,1
1460,8764,1
1460,9311,1
1460,9322,4
1460,9325,1
1460,9412,1
1460,9596,1
1460,9778,3
1460,10144,2
1460,10591,3
1460,10646,1
1460,11440,1
1460,11458,1
1460,11555,1
1460,11594,1
1460,11683,1
1460,11748,1
1460,11792,1
1460,11941,3
1460,11982,1
1460,12027,2
1460,12643,2
1460,12707,1
1460,12996,1
1460,13029,1
1460,13326,3
1460,13411,4
1460,13441,1
1460,13448,3
1460,13568,1
1460,13569,4
1460,13752,3
1460,13957,1
1460,14055,1
1460,14368,2
1593,2010,2
1593,2164,1
1593,2252,3
1593,2254,2
1593,2282,1
1593,3038,3
1593,3247,2
1593,3261,1
1593,3310,1
1593,3347,1
1593,3479,1
1593,3500,5
1593,3681,2
1593,3914,1
1593,4350,2
1593,4357,4
1593,4640,1
1593,4642,1
1593,5124,5
1593,5419,6
1593,5496,1
1593,5651,1
1593,6014,1
1593,6106,1
1593,6602,1
1593,6806,2
1593,6837,1
1593,6919,2
1593,6995,1
1593,7006,1
1593,7128,9
1593,7135,5
1593,7136,3
1593,7198,1
1593,7233,10
1593,7929,1
1593,7980,6
1593,8069,3
1593,8432,1
1593,8658,3
1593,9233,2
1593,9412,1
1593,9778,2
1593,10381,1
1593,10591,1
1593,10675,2
1593,11300,1
1593,11440,1
1593,11555,1
1593,11792,1
1593,11932,3
1593,11941,1
1593,11982,2
1593,12027,9
1593,12209,1
1593,12643,1
1593,12694,1
1593,12771,1
1593,12790,1
1593,13326,1
1593,13411,2
1593,13568,1
1593,13569,1
1593,13752,2
1593,13957,2
1654,2010,1
1654,2164,3
1654,2916,1
1654,3479,1
1654,3500,2
1654,3984,1
1654,4400,1
1654,5099,1
1654,5111,2
1654,5116,1
1654,6066,1
1654,6540,1
1654,7980,3
1654,8351,1
1654,8658,1
1654,9233,2
1654,9290,1
1654,9304,1
1654,11440,1
1654,11497,1
1654,13718,1
1654,14154,1
1654,14601,1
1683,1807,1
1683,2164,3
1683,3500,4
1683,3984,1
1683,6837,1
1683,7929,1
1683,7980,3
1683,8034,1
1683,8764,1
1683,8854,1
1683,9178,2
1683,9233,1
1683,9325,1
1683,9667,1
1683,10144,1
1683,11683,1
1683,11977,1
1683,13411,1
1683,13448,1
1683,14187,1
1683,14368,1
1807,2010,1
1807,2164,5
1807,2920,1
1807,2923,1
1807,3161,1
1807,3479,1
1807,3500,8
1807,3681,1
1807,3762,4
1807,3965,1
1807,3984,2
1807,4939,2
1807,5117,5
1807,5419,1
1807,6602,1
1807,6634,2
1807,6655,1
1807,6837,1
1807,7006,1
1807,7980,9
1807,8034,1
1807,8069,2
1807,8658,3
1807,8707,1
1807,8797,1
1807,9178,1
1807,9233,1
1807,9311,1
1807,9325,1
1807,9550,1
1807,9778,1
1807,10077,1
1807,10144,2
1807,10591,5
1807,10610,2
1807,10646,1
1807,10847,3
1807,11148,4
1807,11151,1
1807,11300,1
1807,11683,3
1807,12053,2
1807,12643,2
1807,13286,1
1807,13317,2
1807,13411,1
1807,13980,1
1807,14055,1
1807,14154,1
1807,14187,3
1807,14368,1
1807,14371,1
1807,14851,1
1887,2010,1
1887,2092,1
1887,2138,1
1887,2164,2
1887,2254,1
1887,2618,2
1887,3363,1
1887,3500,1
1887,3762,1
1887,3867,2
1887,3914,1
1887,4426,1
1887,4717,1
1887,4804,1
1887,6066,1
1887,6655,2
1887,7980,4
1887,8034,1
1887,8332,1
1887,8658,2
1887,8854,1
1887,9233,1
1887,9290,1
1887,10591,1
1887,10675,2
1887,11440,1
1887,12027,1
1887,12167,1
1887,12643,1
1887,13411,1
1887,13448,1
1887,13569,2
1887,13718,1
1887,14368,1
2010,2164,5
2010,2252,1
2010,2254,1
2010,2495,3
2010,2606,1
2010,2618,1
2010,2635,1
2010,2916,1
